17:58:06.501 -> 1, -0.77, 0.97, -1.34, -8.47, -10.76, -17.37, -0.30, 0.67, 1.38, 5.26, -9.54, -13.70, -0.00, -0.44, -1.70, 35.36, 11.28, 12.28, 2
17:58:06.501 -> 2, -1.07, 0.52, -0.89, -5.05, -12.71, -16.39, 1.05, 1.57, 1.53, -1.08, 1.69, 4.37, -2.40, -1.79, -0.35, 55.86, 17.14, 15.69, 2
17:58:06.501 -> 3, -0.92, -0.08, -1.94, -12.38, 4.38, -18.34, 2.85, 2.17, 1.08, -16.71, -8.56, -10.28, -1.35, -0.89, 1.00, 45.61, 17.63, 6.90, 2
17:58:06.501 -> 4, -1.37, 0.67, -2.69, -21.66, -1.97, -12.00, 2.85, 0.67, 1.83, 3.31, -11.01, -0.03, -2.40, -1.49, 1.60, 18.76, 3.47, -21.90, 2
17:58:06.549 -> 5, 0.58, -0.68, -2.54, -19.70, -3.43, -11.02, 3.30, -0.38, 0.18, 8.68, -7.59, -9.79, -0.15, -0.59, 1.30, 28.03, -3.85, -21.42, 2
17:58:06.549 -> 6, 0.13, -0.23, -1.64, -10.42, -2.46, -15.90, -0.75, -0.08, -1.62, -0.60, -18.82, -12.72, -0.30, -0.44, 1.60, 19.73, -6.78, -14.09, 2
17:58:06.549 -> 7, 0.73, 1.42, -0.29, 9.11, 25.86, -48.13, -5.85, -0.98, -2.67, -133.90, -8.08, 50.26, -0.60, 0.46, 0.70, 16.31, 10.31, 48.90, 2
17:58:06.549 -> 8, 0.13, 1.72, -0.89, 3.25, 10.24, -78.40, -8.10, 0.07, -2.22, -81.16, -18.82, 21.94, -0.00, 0.31, 0.10, 36.82, 5.91, 104.07, 2
17:58:06.549 -> 9, 0.58, 2.02, 0.61, -6.03, -0.50, 25.11, -6.75, 0.37, -0.87, -49.91, 8.04, 43.43, -0.90, 0.46, 1.00, -91.60, 20.07, 283.27, 2
17:58:06.597 -> 10, 0.58, 1.27, 0.31, -12.87, -14.17, -1.26, -2.55, -0.98, 0.48, 6.24, -11.49, 14.62, 0.15, 1.21, 2.05, -141.89, -2.88, 168.04, 2
17:58:06.597 -> 11, 1.63, 1.12, -1.49, -13.84, -1.97, 3.63, -0.90, -0.68, -0.27, 20.89, -14.91, -10.77, 0.45, 0.76, 1.60, -115.52, 2.50, 123.60, 2
17:58:06.597 -> 12, 1.33, 1.27, -1.34, -16.77, 1.45, -11.02, 0.30, -1.43, -1.47, -27.45, 5.11, 5.34, 1.80, 1.21, 1.30, -112.10, -9.71, 99.68, 2
17:58:06.597 -> 13, 1.63, 0.37, 0.46, -21.17, -1.97, -19.81, 1.35, -1.58, -0.87, -0.60, -5.15, -8.82, 0.60, 0.16, 0.70, -108.69, -18.50, 57.69, 2
17:58:06.644 -> 14, 1.33, 0.97, -0.89, -24.10, -5.87, -6.63, 1.50, -0.98, -1.47, 12.10, -4.17, -18.58, 0.75, 0.01, 1.15, -62.79, 5.42, 41.08, 2
17:58:06.644 -> 15, 1.93, 0.37, -0.74, -7.98, -0.01, -10.04, 0.90, -0.38, -1.32, -18.66, -15.40, -5.89, 0.45, 0.31, 1.15, -53.51, -1.90, 56.22, 2
17:58:06.644 -> 16, 1.33, 0.97, -1.34, -7.98, 0.47, -9.07, 0.75, -0.98, -1.02, -9.87, 5.60, -8.33, 0.75, -0.44, 1.15, -42.77, -17.52, 34.74, 2
17:58:06.644 -> 17, 0.58, 0.52, -0.59, -14.82, -2.46, -12.97, 0.30, -0.98, -0.27, -1.08, 6.57, -12.72, 1.35, 0.46, 0.25, -48.63, 1.52, 31.32, 2
17:58:06.692 -> 18, 0.73, 0.37, -1.04, -8.96, -2.46, -7.60, 0.30, -0.23, 0.03, 1.85, -2.22, -11.26, -0.00, 0.01, 0.85, -25.19, -1.41, 37.67, 2
17:58:06.692 -> 19, -0.77, 0.52, -1.34, -16.28, 4.38, -13.95, 0.30, -0.98, 0.03, -5.48, -3.19, -6.38, -0.60, 0.46, 0.70, -23.73, -5.32, 36.20, 2
17:58:06.692 -> 20, -0.17, 1.12, -0.74, -7.01, -7.83, -20.79, 0.45, -0.08, -0.87, -5.48, -7.10, -3.94, 1.65, 0.31, 0.40, -35.93, -4.34, 28.88, 2
17:58:06.692 -> 21, 0.58, 1.27, -0.89, -18.24, 9.26, -9.56, 1.05, 0.07, -1.47, -0.60, -9.54, -14.68, -0.00, 0.31, 0.40, -19.33, -3.36, 17.65, 2
17:58:06.692 -> 22, 0.88, 0.97, -0.89, -20.68, 1.45, -14.93, -0.15, -0.68, -1.02, -4.50, -9.05, -10.77, -0.90, 0.46, 0.25, -8.59, -0.92, 22.04, 2
17:58:06.740 -> 23, 1.63, 1.87, -0.29, -12.87, -6.85, -10.53, 0.15, -0.38, -0.57, 1.36, -5.15, -0.52, 0.45, 0.31, -1.10, -12.98, 3.47, 9.35, 2
17:58:06.740 -> 24, 0.73, 0.37, -1.04, -17.26, 1.45, -5.65, -0.30, -0.38, -0.12, -5.48, -5.15, -2.96, -0.15, 0.16, 1.30, -9.57, 3.96, 8.37, 2
17:58:06.740 -> 25, 0.88, -0.23, -0.14, -21.66, 4.87, -3.21, 0.90, 0.37, -0.12, 7.70, -10.52, -7.84, -0.75, 1.36, 0.40, -9.08, 4.94, 16.18, 2
17:58:06.740 -> 26, 0.13, 0.07, -0.59, -15.31, -2.94, -26.16, -0.90, 0.07, -0.27, -4.01, -11.49, -3.94, 0.45, 0.76, 1.60, -2.24, 1.03, 16.67, 2
17:58:06.787 -> 27, 0.58, 0.52, -0.89, -2.12, 3.40, -20.30, 0.45, -0.08, -1.32, 6.24, -8.56, -5.89, 0.15, -0.14, 0.70, -17.38, -1.41, 12.76, 2
17:58:06.787 -> 28, 0.73, 0.67, -0.74, -12.87, 0.47, -1.26, 1.05, -0.23, -0.72, -8.41, -17.35, -13.21, 1.65, 0.01, 0.40, -5.66, -15.08, 5.93, 2
17:58:06.787 -> 29, 1.33, 0.97, -0.14, -19.70, -10.27, -4.18, 0.45, -0.38, 0.18, -2.06, 3.15, -3.45, 0.15, 0.46, 0.70, 3.62, -0.92, 5.93, 2
17:58:06.787 -> 30, -0.77, 0.52, 1.51, -17.26, 0.47, -4.67, 0.15, 0.37, -0.87, -8.90, -14.42, -3.45, -0.30, 0.76, 0.10, -12.49, 10.80, 21.06, 2
17:58:06.834 -> 31, -0.92, 1.87, -0.74, -7.98, 9.75, -12.00, 0.90, 0.67, -1.62, -6.94, 0.71, 0.46, -1.80, 0.16, 0.70, -2.24, 5.91, 9.35, 2
17:58:06.834 -> 32, -0.17, 0.37, -1.04, -24.58, 8.77, -13.95, 1.65, -0.38, -2.37, -4.50, -2.22, -2.96, 0.60, 1.21, 0.70, -11.52, 4.94, 8.37, 2
17:58:06.834 -> 33, 0.28, 1.42, 0.01, -25.07, -4.90, -21.27, 0.75, 0.07, -1.02, -0.11, -9.54, -11.26, -1.50, 0.01, 0.40, 5.57, -17.04, 1.04, 2
17:58:06.834 -> 34, 1.18, 0.67, 0.01, -24.10, 2.43, -6.63, 0.15, -0.38, 0.18, 10.15, -13.94, -13.70, -0.00, -0.44, 1.15, -0.29, 1.03, 1.04, 2
